gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,tenure_bucket,service_count,revenue_to_date,contract_payment_risk,senior_high_charges,family_status,churn_actual,churn_proba,churn_pred,risk_category
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,48m+,8,8211.6,0,0,Family,No,0.012701968544893695,0,Low
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0-12m,5,801.2,0,1,Single,No,0.809286366767372,1,Very High
Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,36-48m,6,3212.35,0,0,Family,No,0.1472045233167601,0,Low
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,12-24m,3,1407.6000000000001,1,0,Couple,No,0.4101971832962058,1,Medium
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,48m+,7,5950.8,0,0,Couple,No,0.036290456392828754,0,Low
Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,12-24m,5,2096.85,0,0,Single,No,0.4331250944590356,1,Medium
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,12-24m,5,2082.15,0,0,Single,No,0.3227565221014491,0,Medium
Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,12-24m,2,457.90000000000003,0,0,Family,No,0.03969984953985834,0,Low
Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,48m+,1,1204.75,0,0,Family,No,0.01345216822547904,0,Low
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,12-24m,1,765.8499999999999,1,0,Single,Yes,0.39250542907641917,1,Medium
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,48m+,6,7423.5,1,0,Family,No,0.31271183305592276,0,Medium
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,48m+,8,8269.199999999999,0,1,Couple,No,0.010174665310675035,0,Low
Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,48m+,1,1479.8,0,0,Single,No,0.14976460276897882,0,Low
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,0-12m,3,932.8,0,1,Single,Yes,0.5826967651285098,1,Medium
Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,12-24m,2,927.1999999999999,0,0,Family,No,0.1432027573288279,0,Low
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,48m+,3,6084.0,0,0,Family,No,0.04766527664262676,0,Low
